Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,313,98,3,2.5,4.5,8.3,1,0.76
2,312,100,2,1.5,3.5,7.9,1,0.56
3,334,116,4,4,3,8,1,0.78
4,324,112,4,4,2.5,8.1,1,0.72
5,322,110,3,3,3.5,8,0,0.7
6,320,103,3,3,3,7.7,0,0.64
7,316,102,3,2,3,7.4,0,0.64
8,298,99,2,4,2,7.6,0,0.46
9,300,99,1,3,2,6.8,1,0.36
10,311,104,2,2,2,8.3,0,0.42
11,309,100,2,3,3,8.1,0,0.48
12,307,101,3,4,3,8.2,0,0.47
13,304,105,2,3,3,8.2,1,0.54
14,315,107,2,4,3,8.5,1,0.56
15,325,111,3,3,3.5,8.7,0,0.52
16,325,112,4,3.5,3.5,8.92,0,0.55
17,327,114,3,3,3,9.02,0,0.61
18,316,107,2,3.5,3.5,8.64,1,0.57
19,318,109,3,3.5,4,9.22,1,0.68
20,328,115,4,4.5,4,9.16,1,0.78
21,332,118,5,5,5,9.64,1,0.94
22,336,112,5,5,5,9.76,1,0.96
23,321,111,5,5,5,9.45,1,0.93
24,314,108,4,4.5,4,9.04,1,0.84
25,314,106,3,3,5,8.9,0,0.74
26,329,114,2,2,4,8.56,1,0.72
27,327,112,3,3,3,8.72,1,0.74
28,301,99,2,3,2,8.22,0,0.64
29,296,95,2,3,2,7.54,1,0.44
30,294,93,1,1.5,2,7.36,0,0.46
31,312,105,3,2,3,8.02,1,0.5
32,340,120,4,5,5,9.5,1,0.96
33,320,110,5,5,4.5,9.22,1,0.92
34,322,115,5,4,4.5,9.36,1,0.92
35,340,115,5,4.5,4.5,9.45,1,0.94
36,319,103,4,4.5,3.5,8.66,0,0.76
37,315,106,3,4.5,3.5,8.42,0,0.72
38,317,107,2,3.5,3,8.28,0,0.66
39,314,108,3,4.5,3.5,8.14,0,0.64
40,316,109,4,4.5,3.5,8.76,1,0.74
41,318,106,2,4,4,7.92,1,0.64
42,299,97,3,5,3.5,7.66,0,0.38
43,298,98,2,4,3,8.03,0,0.34
44,301,97,2,3,3,7.88,1,0.44
45,303,99,3,2,2.5,7.66,0,0.36
46,304,100,4,1.5,2.5,7.84,0,0.42
47,306,100,2,3,3,8,0,0.48
48,331,120,3,4,4,8.96,1,0.86
49,332,119,4,5,4.5,9.24,1,0.9
50,323,113,3,4,4,8.88,1,0.79
51,322,107,3,3.5,3.5,8.46,1,0.71
52,312,105,2,2.5,3,8.12,0,0.64
53,314,106,2,4,3.5,8.25,0,0.62
54,317,104,2,4.5,4,8.47,0,0.57
55,326,112,3,3.5,3,9.05,1,0.74
56,316,110,3,4,4.5,8.78,1,0.69
57,329,111,4,4.5,4.5,9.18,1,0.87
58,338,117,4,3.5,4.5,9.46,1,0.91
59,331,116,5,5,5,9.38,1,0.93
60,304,103,5,5,4,8.64,0,0.68
61,305,108,5,3,3,8.48,0,0.61
62,321,109,4,4,4,8.68,1,0.69
63,301,107,3,3.5,3.5,8.34,1,0.62
64,320,110,2,4,3.5,8.56,0,0.72
65,311,105,3,3.5,3,8.45,1,0.59
66,310,106,4,4.5,4.5,9.04,1,0.66
67,299,102,3,4,3.5,8.62,0,0.56
68,290,104,4,2,2.5,7.46,0,0.45
69,296,99,2,3,3.5,7.28,0,0.47
70,327,104,5,3,3.5,8.84,1,0.71
71,335,117,5,5,5,9.56,1,0.94
72,334,119,5,4.5,4.5,9.48,1,0.94
73,310,106,4,1.5,2.5,8.36,0,0.57
74,308,108,3,3.5,3.5,8.22,0,0.61
75,301,106,4,2.5,3,8.47,0,0.57
76,300,100,3,2,3,8.66,1,0.64
77,323,113,3,4,3,9.32,1,0.85
78,319,112,3,2.5,2,8.71,1,0.78
79,326,112,3,3.5,3,9.1,1,0.84
80,333,118,5,5,5,9.35,1,0.92
81,339,114,5,4,4.5,9.76,1,0.96
82,303,105,5,5,4.5,8.65,0,0.77
83,309,105,5,3.5,3.5,8.56,0,0.71
84,323,112,5,4,4.5,8.78,0,0.79
85,333,113,5,4,4,9.28,1,0.89
86,314,109,4,3.5,4,8.77,1,0.82
87,312,103,3,5,4,8.45,0,0.76
88,316,100,2,1.5,3,8.16,1,0.71
89,326,116,2,4.5,3,9.08,1,0.8
90,318,109,1,3.5,3.5,9.12,0,0.78
91,329,110,2,4,3,9.15,1,0.84
92,332,118,2,4.5,3.5,9.36,1,0.9
93,331,115,5,4,3.5,9.44,1,0.92
94,340,120,4,4.5,4,9.92,1,0.97
95,325,112,2,3,3.5,8.96,1,0.8
96,320,113,2,2,2.5,8.64,1,0.81
97,315,105,3,2,2.5,8.48,0,0.75
98,326,114,3,3,3,9.11,1,0.83
99,339,116,4,4,3.5,9.8,1,0.96
100,311,106,2,3.5,3,8.26,1,0.79
101,334,114,4,4,4,9.43,1,0.93
102,332,116,5,5,5,9.28,1,0.94
103,321,112,5,5,5,9.06,1,0.86
104,324,105,3,3,4,8.75,0,0.79
105,326,108,3,3,3.5,8.89,0,0.8
106,312,109,3,3,3,8.69,0,0.77
107,315,105,3,2,2.5,8.34,0,0.7
108,309,104,2,2,2.5,8.26,0,0.65
109,306,106,2,2,2.5,8.14,0,0.61
110,297,100,1,1.5,2,7.9,0,0.52
111,315,103,1,1.5,2,7.86,0,0.57
112,298,99,1,1.5,3,7.46,0,0.53
113,318,109,3,3,3,8.5,0,0.67
114,317,105,3,3.5,3,8.56,0,0.68
115,329,111,4,4.5,4,9.01,1,0.81
116,322,110,5,4.5,4,8.97,0,0.78
117,302,102,3,3.5,5,8.33,0,0.65
118,313,102,3,2,3,8.27,0,0.64
119,293,97,2,2,4,7.8,1,0.64
120,311,99,2,2.5,3,7.98,0,0.65
121,312,101,2,2.5,3.5,8.04,1,0.68
122,334,117,5,4,4.5,9.07,1,0.89
123,322,110,4,4,5,9.13,1,0.86
124,323,113,4,4,4.5,9.23,1,0.89
125,321,111,4,4,4,8.97,1,0.87
126,320,111,4,4.5,3.5,8.87,1,0.85
127,329,119,4,4.5,4.5,9.16,1,0.9
128,319,110,3,3.5,3.5,9.04,0,0.82
129,309,108,3,2.5,3,8.12,0,0.72
130,307,102,3,3,3,8.27,0,0.73
131,300,104,3,3.5,3,8.16,0,0.71
132,305,107,2,2.5,2.5,8.42,0,0.71
133,299,100,2,3,3.5,7.88,0,0.68
134,314,110,3,4,4,8.8,0,0.75
135,316,106,2,2.5,4,8.32,0,0.72
136,327,113,4,4.5,4.5,9.11,1,0.89
137,317,107,3,3.5,3,8.68,1,0.84
138,335,118,5,4.5,3.5,9.44,1,0.93
139,331,115,5,4.5,3.5,9.36,1,0.93
140,324,112,5,5,5,9.08,1,0.88
141,324,111,5,4.5,4,9.16,1,0.9
142,323,110,5,4,5,8.98,1,0.87
143,322,114,5,4.5,4,8.94,1,0.86
144,336,118,5,4.5,5,9.53,1,0.94
145,316,109,3,3.5,3,8.76,0,0.77
146,307,107,2,3,3.5,8.52,1,0.78
147,306,105,2,3,2.5,8.26,0,0.73
148,310,106,2,3.5,2.5,8.33,0,0.73
149,311,104,3,4.5,4.5,8.43,0,0.7
150,313,107,3,4,4.5,8.69,0,0.72
151,317,103,3,2.5,3,8.54,1,0.73
152,315,110,2,3.5,3,8.46,1,0.72
153,340,120,5,4.5,4.5,9.91,1,0.97
154,334,120,5,4,5,9.87,1,0.97
155,298,105,3,3.5,4,8.54,0,0.69
156,295,99,2,2.5,3,7.65,0,0.57
157,315,99,2,3.5,3,7.89,0,0.63
158,310,102,3,3.5,4,8.02,1,0.66
159,305,106,2,3,3,8.16,0,0.64
160,301,104,3,3.5,4,8.12,1,0.68
161,325,108,4,4.5,4,9.06,1,0.79
162,328,110,4,5,4,9.14,1,0.82
163,338,120,4,5,5,9.66,1,0.95
164,333,119,5,5,4.5,9.78,1,0.96
165,331,117,4,4.5,5,9.42,1,0.94
166,330,116,5,5,4.5,9.36,1,0.93
167,322,112,4,4.5,4.5,9.26,1,0.91
168,321,109,4,4,4,9.13,1,0.85
169,324,110,4,3,3.5,8.97,1,0.84
170,312,104,3,3.5,3.5,8.42,0,0.74
